name,cafeurl,reviewcnt,rating,pricerng,postcode,lat,long,rev_Excellent,rev_Very good,rev_Average,rev_Poor,rev_Terrible,topcat,borough,price_num
L'Opera of Brompton,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2013776-Reviews-L_Opera_of_Brompton-London_England.html,175,3.0,££ - £££,SW3 2EP,51.487975000000006,-0.165875,37,41,21,15,38,Very good,Kensington and Chelsea,2
Pret A Manger,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9829787-Reviews-Pret_A_Manger-London_England.html,12,3.5,£,N1 9LH,51.53669,-0.0944,0,6,2,2,1,Very good,Islington,1
Zentti The Teashop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9711219-Reviews-Zentti_The_Teashop-London_England.html,1,4.0,£,EC1Y 8QP,51.5232,-0.0933,0,1,0,0,0,Very good,Islington,1
tZing,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7603912-Reviews-TZing-London_England.html,5,3.0,££ - £££,W1B 5BT,51.5085,-0.1257,0,1,2,0,0,Average,Westminster,2
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7216698-Reviews-Starbucks-London_England.html,55,3.0,£,SW3 1BW,51.487975000000006,-0.165875,3,6,13,5,6,Average,Westminster,1
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5583330-Reviews-Starbucks-London_England.html,14,3.0,££ - £££,NW3 2PT,51.5462,-0.168075,4,1,1,4,3,Excellent,Camden,2
Doppio Coffee Warehouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10810496-Reviews-Doppio_Coffee_Warehouse-London_England.html,10,3.0,£,NW1 8PD,51.52988181818182,-0.1471818181818182,2,1,1,1,2,Excellent,Camden,1
Caffe Nero,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5098591-Reviews-Caffe_Nero-London_England.html,24,3.5,£,W4 5TF,51.4927,-0.258,11,2,0,5,6,Excellent,Hounslow,1
Sweet Liberty,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d19268296-Reviews-Sweet_Liberty-London_England.html,11,3.0,£,NW1 6XE,51.52988181818182,-0.1471818181818182,3,1,2,0,4,Terrible,Westminster,1
Costa Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9855707-Reviews-Costa_Coffee-London_England.html,23,3.0,£,SW1E 5JE,51.5085,-0.1257,2,4,2,2,3,Very good,Westminster,1
Hej Roastery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15009275-Reviews-Hej_Roastery-London_England.html,14,3.0,£,SE17 1BA,51.48563333333333,-0.1028333333333333,6,1,1,2,4,Excellent,Southwark,1
Starbuck's,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8570844-Reviews-Starbuck_s-London_England.html,7,3.0,££ - £££,EC1Y 1AG,51.5232,-0.0933,0,1,1,1,1,Very good,Islington,2
Coffee Max,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8041501-Reviews-Coffee_Max-London_England.html,9,3.0,££ - £££,SW17 7EX,51.4307,-0.1647,1,3,2,1,2,Very good,Wandsworth,2
